code,name,pinyin,pinyin_full,market
00551,裕元集团,yyjt,yuyuanjituan,港股
00552,中国通信服务,zgtxfw,zhongguotongxinfuwu,港股
00553,南京熊猫电子股份,njxmdzgf,nanjingxiongmaodianzigufen,港股
00554,汉思集团控股,hsjtkg,hansijituankonggu,港股
00556,泛亚环保,fyhb,fanyahuanbao,港股
00557,天元医疗,tyyl,tianyuanyiliao,港股
00558,力劲科技,ljkj,lijinkeji,港股
00559,德泰新能源集团,dtxnyjt,detaixinnengyuanjituan,港股
00560,珠江船务,zjcw,zhujiangchuanwu,港股
00563,上实城市开发,sscskf,shangshichengshikaifa,港股
00564,中创智领,zczl,zhongchuangzhiling,港股
00565,锦艺集团控股,jyjtkg,jinyijituankonggu,港股
00567,大昌微线集团,dcwxjt,dachangweixianjituan,港股
00568,山东墨龙,sdml,shandongmolong,港股
00570,中国中药,zgzy,zhongguozhongyao,港股
00571,丰德丽控股,fdlkg,fengdelikonggu,港股
00572,未来世界控股,wlsjkg,weilaishijiekonggu,港股
00573,稻香控股,dxkg,daoxiangkonggu,港股
00574,百信国际,bxgj,baixinguoji,港股
00575,励晶太平洋,ljtpy,lijingtaipingyang,港股
00576,浙江沪杭甬,zjhhy,zhejianghuhangyong,港股
00579,京能清洁能源,jnqjny,jingnengqingjienengyuan,港股
00580,赛晶科技,sjkj,saijingkeji,港股
00581,中国东方集团,zgdfjt,zhongguodongfangjituan,港股
00582,神话世界,shsj,shenhuashijie,港股
00583,长城环亚控股,cchykg,changchenghuanyakonggu,港股
00585,意力国际,ylgj,yiliguoji,港股
00586,海螺创业,hlcy,hailuochuangye,港股
00587,海螺环保,hlhb,hailuohuanbao,港股
00588,北京北辰实业股份,bjbcsygf,beijingbeichenshiyegufen,港股
00590,六福集团,lfjt,liufujituan,港股
00591,中国高精密,zggjm,zhongguogaojingmi,港股
00595,AV CONCEPT HOLD,av concept hold,av concept hold,港股
00596,浪潮数字企业,lcszqy,langchaoshuziqiye,港股
00598,中国外运,zgwy,zhongguowaiyun,港股
00599,怡邦行控股,ybxkg,yibangxingkonggu,港股
00600,爱芯元智,axyz,aixinyuanzhi,港股
00601,稀镁科技,xmkj,ximeikeji,港股
00602,佳华百货控股,jhbhkg,jiahuabaihuokonggu,港股
00603,中油燃气,zyrq,zhongyouranqi,港股
00604,深圳控股,szkg,shenzhenkonggu,港股
00605,中国金融投资管理,zgjrtzgl,zhongguojinrongtouziguanli,港股
00606,中骏商管,zjsg,zhongjunshangguan,港股
00607,丰盛控股,fskg,fengshengkonggu,港股
00608,达利国际,dlgj,daliguoji,港股
00609,天德化工,tdhg,tiandehuagong,港股
00610,WAI KEE HOLD,wai kee hold,wai kee hold,港股
00611,中国核能科技,zghnkj,zhongguohenengkeji,港股
00612,嘉文世纪投资公司,jwsjtzgs,jiawenshijitouzigongsi,港股
00613,梧桐国际,wtgj,wutongguoji,港股
00616,财富链,cfl,caifulian,港股
00617,百利保控股,blbkg,bailibaokonggu,港股
00618,北大资源,bdzy,beidaziyuan,港股
00619,南华金融,nhjr,nanhuajinrong,港股
00620,大唐西市,dtxs,datangxishi,港股
00621,坛金矿业,tjky,tanjinkuangye,港股
00622,威华达控股,whdkg,weihuadakonggu,港股
00623,中视金桥,zsjq,zhongshijinqiao,港股
00626,大众金融控股,dzjrkg,dazhongjinrongkonggu,港股
00627,共生智筑,gszz,gongshengzhizhu,港股
00628,通通ＡＩ社交,ttａｉsj,tongtongａｉshejiao,港股
00629,悦达国际控股,ydgjkg,yuedaguojikonggu,港股
00630,隽泰控股,jtkg,juantaikonggu,港股
00631,三一国际,sygj,sanyiguoji,港股
00632,中港石油,zgsy,zhonggangshiyou,港股
00635,彩星集团,cxjt,caixingjituan,港股
00636,KLN,kln,kln,港股
00637,利记,lj,liji,港股
00638,广和通,ght,guanghetong,港股
00639,首钢资源,sgzy,shougangziyuan,港股
00640,星谦发展,xqfz,xingqianfazhan,港股
00641,中国恒天立信国际,zghtlxgj,zhongguohengtianlixinguoji,港股
00643,恒富控股,hfkg,hengfukonggu,港股
